english,phonetic
freshish,ˈfrɛʃɪʃ
freshly,ˈfrɛʃli
freshman,ˈfrɛʃmən
freshmanship,ˈfrɛʃmənʃɪp
freshness,ˈfrɛʃnəs
fresno,ˈfrɛznoʊ
fret,frɛt
fretful,ˈfrɛtfəl
fretfully,ˈfrɛtfəli
fretfulness,ˈfrɛtfəlnəs
fretless,ˈfrɛtləs
frett,frɛt
fretted,ˈfrɛtɪd
fretter,ˈfrɛtər
fretting,ˈfrɛtɪŋ
frettingly,ˈfrɛtɪŋli
Freudian,ˈfrudiən
Freudianism,ˈfrudiənɪz(ə)m
Freudism,ˈfrɔɪdɪz(ə)m
Freudist,ˈfrɔɪdɪst
Freya,ˈfreɪə
friability,ˌfɜriəˈbɪlɪti
friable,ˈfɜrɪəbl
friar,ˈfraɪər
friarly,ˈfraɪərli
friary,ˈfraɪəri
friction,ˈfrɪkʃən
frictionable,ˈfrɪkʃənəbl
frictional,ˈfrɪkʃən(ə)l
frictionally,ˈfrɪkʃən(ə)li
frictionless,ˈfrɪkʃənləs
frictionlessly,ˈfrɪkʃənləsli
Friday,ˈfraɪdi
fried,fraɪd
Frieda,ˈfridə
friend,frɛnd
friended,ˈfrɛndɪd
friendless,ˈfrɛndləs
friendlessness,ˈfrɛndləsnəs
friendlily,ˈfrɛndlɪli
friendliness,ˈfrɛndlinɪs
friendly,ˈfrɛndli
friendship,ˈfrɛndʃɪp
frier,ˈfraɪər
Friesish,ˈfrizɪʃ
frieze,friz
friezer,ˈfrizər
frig,frɪʤ
frigate,ˈfrɪgət
fright,fraɪt
frightable,ˈfraɪtəbl
frighten,ˈfraɪtən
frightenable,ˈfraɪtənəbl
frightened,ˈfraɪtənd
frightenedly,ˈfraɪtəndli
frightenedness,ˈfraɪtəndnəs
frightener,ˈfraɪtənər
frightening,ˈfraɪtənɪŋ
frighteningly,ˈfraɪtənɪŋli
frighter,ˈfraɪtər
frightful,ˈfraɪtfəl
frightfully,ˈfraɪtfəli
frightfulness,ˈfraɪtfəlnəs
frightless,ˈfraɪtləs
frightment,ˈfraɪtmənt
frigid,ˈfrɪʤəd
frigidly,ˈfrɪʤədli
frigidness,ˈfrɪʤədnəs
frill,frɪl
frilled,frɪld
friller,ˈfrɪlər
frillily,ˈfrɪlɪli
frilliness,ˈfrɪlɪnəs
frilling,ˈfrɪlɪŋ
frilly,ˈfrɪli
fringe,frɪnʤ
fringed,frɪnʤd
fringeless,ˈfrɪnʤləs
fringing,ˈfrɪnʤɪŋ
frisk,frɪsk
frisker,ˈfrɪskər
friskful,ˈfrɪskf(ə)l
friskily,ˈfrɪskɪli
friskiness,ˈfrɪskɪnəs
frisking,ˈfrɪskɪŋ
friskingly,ˈfrɪskɪŋli
frisky,ˈfrɪski
frison,ˈfrɪsən
frist,frɪst
frith,frɪθ
fritter,ˈfrɪtər
fritterer,ˈfrɪtərər
Fritz,frɪts
frivolity,frəˈvɑləti
frivolous,ˈfrɪvələs
frivolously,ˈfrɪvələsli
frivolousness,ˈfrɪvələsnəs
fro,froʊ
frock,frɑk
frocking,ˈfrɑkɪŋ
frockless,ˈfrɑkləs
frog,frɑg
frogged,frɑgd
frogging,ˈfrɑgɪŋ
froggish,ˈfrɑgɪʃ
frogman,ˈfrɑgˌmæn
frogmouth,ˈfrɑgˌmaʊθ
frolic,ˈfrɑlɪk
frolicful,ˈfrɑlɪkf(ə)l
frolicker,ˈfrɑlɪkər
frolicly,ˈfrɑlɪkli
frolicness,ˈfrɑlɪknəs
from,frʌm
frond,frɑnd
fronded,ˈfrɑndɪd
front,frʌnt
frontage,ˈfrʌntɪʤ
frontager,ˈfrʌntɪʤər
frontal,ˈfrʌntəl
frontally,ˈfrʌntəli
fronted,ˈfrʌntɪd
fronter,ˈfrʌntər
frontier,frənˈtɪr
fronting,ˈfrʌntɪŋ
frontingly,ˈfrʌntɪŋli
frontless,ˈfrʌntləs
frontlessly,ˈfrʌntləsli
frontlessness,ˈfrʌntləsnəs
frost,frɔst
frostbite,ˈfrɔstˌbaɪt
frosted,ˈfrɔstəd
froster,ˈfrɔstər
frostily,ˈfrɔstɪli
frostiness,ˈfrɔstɪnəs
frosting,ˈfrɔstɪŋ
frostless,ˈfrɔstləs
frosty,ˈfrɔsti
froth,frɔθ
frother,ˈfrɔθər
frothily,ˈfrɔθɪli
frothiness,ˈfrɔθinɪs
frothing,ˈfrɔθɪŋ
frothless,ˈfrɔθləs
frothy,ˈfrɔθi
frown,fraʊn
frowner,ˈfraʊnər
frownful,ˈfraʊnf(ə)l
frowning,ˈfraʊnɪŋ
frowningly,ˈfraʊnɪŋli
frownless,ˈfraʊnləs
froze,froʊz
frozen,ˈfroʊzən
frozenly,ˈfroʊzənli
frozenness,ˈfroʊzənəs
fructose,ˈfrʌkˌtoʊs
frugal,ˈfrugəl
frugalism,ˈfrugəlɪz(ə)m
frugalist,ˈfrugəlɪst
frugality,fruˈgæləti
frugally,ˈfrugəli
frugalness,ˈfrugəlnəs
fruit,frut
fruitcake,ˈfrutˌkeɪk
fruited,ˈfrutɪd
fruiter,ˈfrutər
fruitful,ˈfrutfəl
fruitfully,ˈfrutfəli
fruitiness,ˈfrutɪnəs
fruiting,ˈfrutɪŋ
fruition,fruˈɪʃən
fruitist,ˈfrutɪst
fruitless,ˈfrutləs
fruitlessly,ˈfrutləsli
fruitlessness,ˈfrutləsnəs
fruity,ˈfruti
frump,frʌmp
frumpily,ˈfrʌmpɪli
frumpiness,ˈfrʌmpɪnəs
frumpish,ˈfrʌmpɪʃ
frumpishly,ˈfrʌmpɪʃli
frumpishness,ˈfrʌmpɪʃnəs
frumpy,ˈfrʌmpi
frush,frʌʃ
frustrate,ˈfrʌˌstreɪt
frustrately,ˈfrʌˌstreɪtli
frustrater,ˈfrʌˌstreɪtər
frustration,frəˈstreɪʃən
fry,fraɪ
fryer,ˈfraɪər
fu,fu
fudge,fʌʤ
fudger,ˈfʌʤər
fudgy,ˈfʌʤi
fuel,ˈfjuəl
fueler,ˈfjuələr
fugitive,ˈfjuʤətɪv
fugitively,ˈfjuʤətɪvli
fugitiveness,ˈfjuʤətɪvnəs
fugitivism,ˈfjuʤətɪvɪz(ə)m
fugue,fjug
fuguist,ˈfjugɪst
fuji,ˈfuʤi
fulcrum,ˈfʊlkrəm
fulfill,fʊlˈfɪl
fulfiller,fʊlˈfɪlər
fulfillment,fʊlˈfɪlmənt
fulk,fʌlk
full,fʊl
fullam,ˈfʊləm
fullback,ˈfʊlˌbæk
fuller,ˈfʊlər
fullering,ˈfʊlərɪŋ
fulling,ˈfʊlɪŋ
fullish,ˈfʊlɪʃ
fullness,ˈfʊlnəs
fully,ˈfʊli
fulminate,ˈfʊlməˌneɪt
fulminating,ˈfʊlməˌneɪtɪŋ
fulminator,ˈfʊlməˌneɪtər
fulsome,ˈfʊlsəm
fulsomely,ˈfʊlsəmli
fulsomeness,ˈfʊlsəmnəs
Fultz,fʊlts
fumble,ˈfʌmbəl
fumbler,ˈfʌmbələr
fumbling,ˈfʌmbəlɪŋ
fume,fjum
fumeless,ˈfjumləs
fumer,ˈfjumər
fumigate,ˈfjuməˌgeɪt
fumigation,ˌfjumɪˈgeɪʃən
fumigator,ˈfjuməˌgeɪtər
fumily,ˈfumɪli
fuminess,ˈfumɪnəs
fuming,ˈfjumɪŋ
fumingly,ˈfjumɪŋli
fun,fʌn
function,ˈfʌŋkʃən
functional,ˈfʌŋkʃənəl
functionalism,ˈfʌŋkʃənəlɪz(ə)m
functionalist,ˈfʌŋkʃənəlɪst
functionality,ˌfʌŋkʃəˈnælɪti
functionally,ˈfʌŋkʃənəli
functionary,ˈfʌŋkʃəˌnɛri
functionless,ˈfʌŋkʃənləs
fund,fʌnd
fundable,ˈfʌndəbl
fundamental,ˌfʌndəˈmɛntəl
fundamentalism,ˌfʌndəˈmɛntəˌlɪzəm
fundamentalist,ˌfʌndəˈmɛntəlɪst
fundamentally,ˌfʌndəˈmɛntəli
fundamentalness,ˌfʌndəˈmɛntəlnəs
funded,ˈfʌndəd
funder,ˈfʌndər
fundless,ˈfʌndləs
funds,fʌndz
funeral,ˈfjunərəl
funerary,ˈfjunəˌrɛri
funest,ˈfʌnɪst
fungal,ˈfʌŋgəl
Fungales,ˈfʌŋgəlz
fungi,ˈfʌnʤaɪ
fungibility,ˌfʌnʤɪˈbɪlɪti
fungible,ˈfʌnʤɪbəl
fungicide,ˈfʌnʤəˌsaɪd
fungus,ˈfʌŋgəs
fungused,ˈfʌŋgəst
funk,fʌŋk
funker,ˈfʌŋkər
funkiness,ˈfʌŋkɪnəs
funky,ˈfʌŋki
funnel,ˈfʌnəl
funneled,ˈfʌnəld
funnily,ˈfʌnɪli
funniment,ˈfʌnɪmənt
funniness,ˈfʌninəs
funny,ˈfʌni
Fur,fɜr
fur,fɜr
furbish,ˈfɜrbɪʃ
furbishable,ˈfɜrbɪʃəbl
furbisher,ˈfɜrbɪʃər
furbishment,ˈfɜrbɪʃmənt
furied,ˈfjʊrid
Furies,ˈfjʊriz
furious,ˈfjʊriəs
furiously,ˈfjʊriəsli
furiousness,ˈfjʊriəsnəs
Furlan,ˈfɜrlən
furless,ˈfɜrləs
furlong,ˈfɜrˌlɔŋ
furlough,ˈfɜrloʊ
furnace,ˈfɜrnəs
furnacer,ˈfɜrnəsər
furner,ˈfɜrnər
furnish,ˈfɜrnɪʃ
furnishable,ˈfɜrnɪʃəbl
furnished,ˈfɜrnɪʃt
furnisher,ˈfɜrnɪʃər
furnishing,ˈfɜrnɪʃɪŋ
furnishment,ˈfɜrnɪʃmənt
furniture,ˈfɜrnɪʧər
furnitureless,ˈfɜrnɪʧərləs
furor,ˈfjʊrɔr
furred,fɜrd
furrier,ˈfɜriər
furriered,ˈfɜriərd
furrily,ˈfɜrɪli
furriness,ˈfɜrɪnəs
furring,ˈfɜrɪŋ
furrow,ˈfɜroʊ
furrower,ˈfɜroʊər
furrowless,ˈfɜroʊləs
furry,ˈfɜri
further,ˈfɜrðər
furtherance,ˈfɜrθərəns
furtherer,ˈfɜrðərər
furtherest,ˈfɜrðərɪst
furtherly,ˈfɜrðərli
furthermore,ˈfɜrðərˌmɔr
furthest,ˈfɜrθəst
furtive,ˈfɜrtɪv
furtively,ˈfɜrtɪvli
furtiveness,ˈfɜrtɪvnəs
fury,ˈfjʊri
fuse,fjuz
fused,fjuzd
fuselage,ˈfjusəˌlɑʤ
fusibility,ˌfjuzəˈbɪlɪti
fusible,ˈfjuzəbəl
fusibleness,ˈfjuzəbəlnəs
fusibly,ˈfjuzəbəli
fusillade,ˈfjusɪˌleɪd
fusion,ˈfjuʒən
fusionism,ˈfjuʒənɪz(ə)m
fusionist,ˈfjuʒənɪst
fusionless,ˈfjuʒənləs
fuss,fʌs
fusser,ˈfʌsər
fussily,ˈfʌsɪli
fussiness,ˈfʌsɪnəs
fussy,ˈfʌsi
fust,fʌst
futile,ˈfjutəl
futilely,ˈfjutəli
futileness,ˈfjutəlnəs
futility,fjuˈtɪləti
future,ˈfjuʧər
futureless,ˈfjuʧərləs
futureness,ˈfjuʧərnəs
futurism,ˈfjuʧəˌrɪzəm
futurist,ˈfjuʧərɪst
futuristic,ˌfjuʧəˈrɪstɪk
fuzz,fʌz
fuzzily,ˈfʌzɪli
fuzziness,ˈfʌzɪnəs
fuzzy,ˈfʌzi
fyke,faɪk
G,ʤi
g,ʤi
Ga,gɑ
ga,gɑ
gab,gæb
gabardine,ˈgæbərˌdin
gabbard,gəˈbɑrd
gabber,ˈgæbər
gabbro,ˈgæbroʊ
gabbroic,gæˈbroʊɪk
gabby,ˈgæbi
Gabe,geɪb
gabelled,gəˈbɛld
gabeller,gəˈbɛlər
gable,ˈgeɪbəl
Gabriel,ˈgeɪbriəl
Gabriella,gɑbriˈɛlə
gaby,ˈgæbi
Gad,gæd
gad,gæd
gadded,ˈgædɪd
gadder,ˈgædər
gadding,ˈgædɪŋ
gaddingly,ˈgædɪŋli
gaddish,ˈgædɪʃ
gaddishness,ˈgædɪʃnəs
gade,geɪd
gadfly,ˈgædˌflaɪ
gadget,ˈgæʤət
Gael,geɪl
Gaelic,ˈgeɪlɪk
Gaelicism,ˈgeɪlɪkɪz(ə)m
Gaelicist,ˈgeɪlɪkɪst
gaff,gæf
gaffe,gæf
gaffer,ˈgæfər
gag,gæg
gage,geɪʤ
gageable,ˈgeɪʤəbl
gager,ˈgeɪgər
gagership,ˈgeɪgərʃɪp
gagger,ˈgægər
gaggle,ˈgægəl
gaggler,ˈgægələr
gagor,ˈgeɪʤər
Gaia,ˈgaɪə
Gail,geɪl
gaily,ˈgeɪli
gain,geɪn
gainable,ˈgeɪnəbl
gainer,ˈgeɪnər
gainful,ˈgeɪnfəl
gainfully,ˈgeɪnfəli
gainfulness,ˈgeɪnfəlnəs
gaining,ˈgeɪnɪŋ
gainless,ˈgeɪnləs
gainlessness,ˈgeɪnləsnəs
gainly,ˈgeɪnli
gains,geɪnz
gainsay,ˈgeɪnˌseɪ
gainsayer,ˈgeɪnˌseɪər
gair,gɛr
gait,geɪt
gaited,ˈgeɪtɪd
gaiter,ˈgeɪtər
gaiterless,ˈgeɪtərləs
gaiting,ˈgeɪtɪŋ
gal,gæl
gala,ˈgælə
galactic,gəˈlæktɪk
galactose,gəˈlæktoʊs
galant,ˈgɑlənt
galatea,ˌgæləˈtiə
Galax,ˈgæˌlæks
galaxy,ˈgæləksi
galban,ˈgælbən
Gale,geɪl
gale,geɪl
galea,ˈgeɪliə
Galen,ˈgeɪlən
galena,gəˈlinə
Galenical,gəˈlɛnɪkəl
galenical,gəˈlɛnɪkəl
Galenism,ˈgeɪlənɪz(ə)m
Galenist,ˈgeɪlənɪst
galey,ˈgeɪli
gali,ˈgɑli
Galik,ˈgælɪk
Galilean,ˌgæləˈliən
galilee,ˈgæləˌli
gall,gɔl
Galla,ˈgælə
galla,ˈgælə
gallant,ˈgælənt
gallantly,ˈgæləntli
gallantness,ˈgæləntnəs
gallantry,ˈgæləntri
galled,geɪld
galleon,ˈgæliən
galler,ˈgɔlər
Galleria,ˌgæləˈriə
galleried,ˈgælərid
gallery,ˈgæləri
gallet,ˈgælɪt
galley,ˈgæli
Galli,ˈgæli
Gallic,ˈgælɪk
gallic,ˈgælɪk
Gallicism,ˈgælɪkɪz(ə)m
galling,ˈgɔlɪŋ
gallingly,ˈgɔlɪŋli
gallingness,ˈgɔlɪŋnəs
gallium,ˈgæliəm
gallon,ˈgælən
galloner,ˈgælənər
galloon,gəˈlun
gallooned,gəˈlund
gallop,ˈgæləp
galloper,ˈgæləpər
galloping,ˈgæləpɪŋ
Galloway,ˈgæloʊˌweɪ
galloway,ˈgæloʊˌweɪ
gallows,ˈgæloʊz
gallowsness,ˈgæloʊznəs
gallstone,ˈgɔlˌstoʊn
Gallus,ˈgæləs
galluses,ˈgæləsɪz
gally,ˈgɔli
galore,gəˈlɔr
galosh,gəˈlɑʃ
galt,gɔlt
Galusha,ˈgæləʃə
galvanic,gælˈvænɪk
galvanically,gælˈvænɪk(ə)li
galvanism,gɑlˈvɑnɪz(ə)m
galvanist,gɑlˈvɑnɪst
galvanize,ˈgælvəˌnaɪz
galvanized,ˈgælvəˌnaɪzd
galvanizer,ˈgælvəˌnaɪzər
Galways,ˈgɑlweɪz
gamba,ˈgæmbə
gambia,ˈgæmbiə
gambit,ˈgæmbɪt
gamble,ˈgæmbəl
gambler,ˈgæmblər
gambling,ˈgæmbəlɪŋ
gambrel,ˈgæmbrəl
gambreled,ˈgæmbrəld
game,geɪm
gamecock,ˈgeɪmˌkɔk
gameful,ˈgeɪmf(ə)l
gamekeeper,ˈgeɪmˌkipər
gameless,ˈgeɪmləs
gamely,ˈgeɪmli
gameness,ˈgeɪmnəs
gamester,ˈgeɪməstər
gamete,ˈgæmit
gametophyte,gəˈmitəˌfaɪt
gaming,ˈgeɪmɪŋ
gamma,ˈgæmə
gammer,ˈgæmər
gammon,ˈgæmən
gammoner,ˈgæmənər
gammoning,ˈgæmənɪŋ
gamp,gæmp
gamut,ˈgæmət
gan,gæn
Ganda,ˈgændə
gander,ˈgændər
gang,gæŋ
gange,gænʤ
ganger,ˈgæŋər
ganging,ˈgæŋɪŋ
gangism,ˈgænʤɪz(ə)m
ganglia,ˈgæŋgliə
gangling,ˈgæŋgəlɪŋ
ganglionic,ˌgæŋgliˈɑnɪk
gangly,ˈgæŋli
gangplank,ˈgæŋˌplæŋk
gangrene,ˈgængrin
gangster,ˈgæŋstər
gangsterism,ˈgæŋstərɪz(ə)m
ganner,ˈgænər
gant,gænt
gantlet,ˈgɔntlət
gantries,ˈgæntriz
gantry,ˈgæntri
Ganymede,ˈgænəˌmid
Ganymedes,ˈgænəˌmidz
gap,gæp
gape,geɪp
gaper,ˈgeɪpər
gapes,geɪps
gaping,ˈgeɪpɪŋ
gapingly,ˈgeɪpɪŋli
gar,gɑr
gara,ˈgærə
garage,gəˈrɑʒ
garb,gɑrb
garbage,ˈgɑrbɪʤ
garble,ˈgɑrbəl
garbleable,ˈgɑrbələbl
garbler,ˈgɑrbələr
garbless,ˈgɑrbəlzɪz
garbling,ˈgɑrblɪŋ
garden,ˈgɑrdən
gardenable,ˈgɑrdənəbl
gardened,ˈgɑrdənd
gardener,ˈgɑrdənər
gardenership,ˈgɑrdənərʃɪp
gardenful,ˈgɑrdənf(ə)l
Gardenia,gɑrˈdinjə
gardening,ˈgɑrdənɪŋ
gardenless,ˈgɑrdənləs
gardenly,ˈgɑrdənli
gare,gɛr
Gargantuan,gɑrˈgænʧuən
gargoyle,ˈgɑrˌgɔɪl
gargoyled,ˈgɑrˌgɔɪld
gargoylish,ˈgɑrˌgɔɪlɪʃ
gargoylishly,ˈgɑrˌgɔɪlɪʃli
gargoylism,ˈgɑrˌgɔɪlɪz(ə)m
garibaldi,ˌgærəˈbɔldi
garish,ˈgɛrɪʃ
garishly,ˈgɛrɪʃli
garishness,ˈgɛrɪʃnəs
garland,ˈgɑrlənd
garlandless,ˈgɑrləndləs
garlic,ˈgɑrlɪk
garlicky,ˈgɑrlɪki
garment,ˈgɑrmənt
garmentless,ˈgɑrməntləs
garn,gɑrn
garner,ˈgɑrnər
garnet,ˈgɑrnət
garneter,ˈgɑrnətər
garnets,ˈgɑrnəts
garnett,ˈgɑrnɪt
garnetter,gɑrˈnɛtər
garnish,ˈgɑrnɪʃ
garnishable,ˈgɑrnɪʃəbl
garnished,ˈgɑrnɪʃt
garnisher,ˈgɑrnɪʃər
garnishment,ˈgɑrnɪʃmənt
Garo,ˈgɛroʊ
Garret,ˈgɛrɪt
garret,ˈgɛrɪt
garreted,ˈgɛrɪtɪd
garrison,ˈgærɪsən
Garrisonism,ˈgærɪsənɪz(ə)m
garrulous,ˈgɛrələs
garrulously,ˈgɛrələsli
garrulousness,ˈgɛrələsnəs
garston,ˈgɑrstən
garten,ˈgɑrtən
garter,ˈgɑrtər
gartered,ˈgɑrtərd
gartering,ˈgɑrtərɪŋ
garterless,ˈgɑrtərləs
garth,gɑrθ
Garuda,gəˈrudə
garvey,ˈgɑrvi
Gary,ˈgɛri
gas,gæs
Gascon,ˈgæskən
Gasconism,ˈgæskənɪz(ə)m
gaseous,ˈgæsiəs
gaseousness,ˈgæsiəsnəs
gash,gæʃ
gashes,ˈgæʃəz
gashful,ˈgæʃf(ə)l
gashly,ˈgæʃli
gasifiable,ˈˌgæsəfaɪəbl
gasification,ˌgæsəfəˈkeɪʃən
gasifier,ˈˌgæsəfaɪər
gasify,ˌgæsəfaɪ
gasket,ˈgæskət
gaskin,ˈgæskɪn
gaskins,ˈgæskɪnz
gasless,ˈgæsləs
gaslight,ˈgæslaɪt
gaslighted,ˈgæslaɪtɪd
gaslighting,ˈgæslaɪtɪŋ
gasoline,ˈgæsəˌlin
gasolineless,ˈgæsəˌlinləs
gasoliner,ˈgæsəˌlinər
gasp,gæsp
Gaspar,ˈgæspər
gasper,ˈgæspər
gasping,ˈgæspɪŋ
gaspingly,ˈgæspɪŋli
gasser,ˈgæsər
gassing,ˈgæsɪŋ
gast,gæst
gaster,ˈgæstər
gastric,ˈgæstrɪk
gastricism,ˈgæstrɪkɪz(ə)m
gastritis,gæˈstraɪtəs
gastrointestinal,ˌgæstroʊɪnˈtɛstənəl
gastronomic,gəˌstrɑˈnɑmɪk
gastronomically,gəˌstrɑˈnɑmɪk(ə)li
gastronomist,gæˈstrɑnəmɪst
gastronomy,gæˈstrɑnəmi
gastroscope,ˈgæstrəˌskoʊp
gastrovascular,ˌgæstroʊˈvæskjələr
gastrulate,ˈgæstrəˌleɪt
gastrulation,ˌgæstrəˈleɪʃən
gat,gæt
gatch,gæʧ
gate,geɪt
gated,ˈgeɪtɪd
gatekeeper,ˈgeɪtˌkipər
gateless,ˈgeɪtləs
gater,ˈgeɪtər
gateway,ˈgeɪˌtweɪ
gather,ˈgæðər
gatherable,ˈgæðərəbl
gatherer,ˈgæðərər
gathering,ˈgæðərɪŋ
gating,ˈgeɪtɪŋ
gator,ˈgeɪtər
gatter,ˈgætər
gau,goʊ
gaub,gɔb
gauche,goʊʃ
gauchely,ˈgoʊʃli
gaucheness,ˈgoʊʃnəs
Gaucho,ˈgaʊʧoʊ
gaudily,ˈgɔdɪli
gaudiness,ˈgɔdɪnəs
gaudy,ˈgɔdi
gauge,geɪʤ
gaugeable,ˈgeɪʤəbl
gauger,ˈgeɪʤər
gaugership,ˈgeɪʤərʃɪp
gauging,ˈgeɪʤɪŋ
Gaul,gɔl
gaulding,ˈgɔldɪŋ
gaulin,goʊˈlæn
Gaulish,ˈgɔlɪʃ
Gaullism,ˈgɔlɪz(ə)m
Gaullist,ˈgɔlɪst
Gault,gɔlt
gault,gɔlt
gaulter,ˈgɔltər
gaunt,gɔnt
gaunted,ˈgɔntɪd
gauntlet,ˈgɔntlət
gauntleted,ˈgɔntlətɪd
gauntly,ˈgɔntli
gauntness,ˈgɔntnəs
gaus,gɔz
gauss,gaʊs
Gaussian,ˈgaʊsiən
gaut,gɔt
gauze,gɔz
gave,geɪv
gavel,ˈgævəl
gaveler,ˈgævələr
gaw,gɔ
gawk,gɔk
gawkily,ˈgɔkɪli
gawkiness,ˈgɔkɪnəs
gawkish,ˈgɔkɪʃ
gawkishly,ˈgɔkɪʃli
gawkishness,ˈgɔkɪʃnəs
gawky,ˈgɔki
gay,geɪ
gayish,ˈgeɪɪʃ
gayment,ˈgeɪmənt
gayness,ˈgeɪnəs
gaz,gɑz
gaze,geɪz
gazeless,ˈgeɪzləs
Gazella,gəˈzɛlə
gazelle,gəˈzɛl
gazement,ˈgeɪzmənt
gazer,ˈgeɪzər
gazette,gəˈzɛt
gazetteer,gəˈzɛtər
gazing,ˈgeɪzɪŋ
gazingly,ˈgeɪzɪŋli
gean,ʤin
gear,gɪr
gearbox,ˈgɪrˌbɑks
geared,gɪrd
gearing,ˈgɪrɪŋ
gearless,ˈgɪrləs
gebbie,ˈʤɛbi
geck,ʤɛk
gecko,ˈgɛkoʊ
Ged,gɛd
ged,gɛd
gedder,ˈgɛdər
Gee,ʤi
gee,ʤi
geek,gik
geest,ˈʤɪɪst
Geez,ʤiz
geezer,ˈʤizər
gegg,ʤɛg
gegger,ˈʤɛgər
geisha,ˈgeɪʃə
Gekko,ˈgɛkoʊ
gel,ʤɛl
gelable,ˈʤɛləbl
gelatin,ˈʤɛlətən
gelatined,ˌʤɛləˈtind
gelatinous,ʤəˈlætənəs
gelatinously,ʤəˈlætənəsli
gelatinousness,ʤəˈlætənəsnəs
gelder,ˈgɛldər
gell,ʤɛl
Gellert,ˈgɛlɜrt
gelly,ˈʤɛli
gem,ʤɛm
geminate,ˈʤɛmənət
geminated,ˈʤɛmənətɪd
geminately,ˈʤɛmənətli
Gemini,ˈʤɛməˌnaɪ
gemless,ˈʤɛmləs
Gemma,ˈʤɛmə
gemma,ˈʤɛmə
gemmate,ˈʤɛmɪt
gemmer,ˈgɛmər
gemsbok,ˈgɛmzbɑk
gen,ʤɛn
gena,ˈʤɛnə
gendarme,ˈʒɑnˌdɑrm
gender,ˈʤɛndər
genderer,ˈʤɛndərər
genderless,ˈʤɛndərləs
Gene,ʤin
gene,ʤin
genealogist,ˌʤiniˈɑləʤɪst
genealogy,ˌʤiniˈɑləʤi
genera,ˈʤɛnərə
general,ˈʤɛnərəl
generale,ˌʤɛnəˈræl
generalism,ˌʤɛnəˈrælɪz(ə)m
generalissimo,ˌʤɛnɛrəˈlɪsɪˌmoʊ
generalist,ˈʤɛnərəlɪst
generality,ˌʤɛnəˈræləti
generalizable,ˈʤɛnərəˌlaɪzəbl
generalization,ˌʤɛnərəlɪˈzeɪʃən
generalize,ˈʤɛnərəˌlaɪz
generalized,ˈʤɛnərəˌlaɪzd
generalizer,ˈʤɛnərəˌlaɪzər
generally,ˈʤɛnərəli
generalness,ˈʤɛnərəlnəs
generalship,ˈʤɛnərəlˌʃɪp
generate,ˈʤɛnəˌreɪt
generating,ˈʤɛnəˌreɪtɪŋ
generation,ˌʤɛnəˈreɪʃən
generational,ˌʤɛnəˈreɪʃənəl
generationism,ˌʤɛnəˈreɪʃənɪz(ə)m
generative,ˈʤɛnərətɪv
generatively,ˈʤɛnərətɪvli
generativeness,ˈʤɛnərətɪvnəs
generator,ˈʤɛnəˌreɪtər
generic,ʤəˈnɛrɪk
generically,ʤəˈnɛrɪkli
generosity,ˌʤɛnəˈrɑsəti
generous,ˈʤɛnərəs
generously,ˈʤɛnərəsli
generousness,ˈʤɛnərəsnəs
Genesee,ˈʤɛnəˌsi
genesis,ˈʤɛnəsəs
genet,ˈʤɛnɪt
genetic,ʤəˈnɛtɪk
genetically,ʤəˈnɛtɪkli
geneticism,ʤəˈnɛtɪkɪz(ə)m
geneticist,ʤəˈnɛtəsəst
genetics,ʤəˈnɛtɪks
Geneva,ʤəˈnivə
geneva,ʤəˈnivə
Genevieve,ˈʤɛnəˌviv
genial,ˈʤinjəl
geniality,ˌʤiniˈæləti
genially,ˈʤinjəli
genialness,ˈʤinjəlnəs
genie,ˈʤini
genital,ˈʤɛnətəl
genitalia,ʤɛnəˈtɑljə
genitals,ˈʤɛnətəlz
genius,ˈʤinjəs
Genoa,ˈʤɛnoʊə
genocidal,ˈʤɛnəˌsaɪdəl
genocide,ˈʤɛnəˌsaɪd
Genoese,ˈʤɛnoʊs
genoese,ˈʤɛnoʊs
genome,ˈʤiˌnoʊm
genos,ˈʤinoʊz
genotype,ˈʤɛnəˌtaɪp
genre,ˈʒɑnrə
gens,ʤɛnz
genson,ˈʤɛnsən
gent,ʤɛnt
genteel,ʤɛnˈtil
genteelish,ʤɛnˈtilɪʃ
genteelism,ʤɛnˈtilɪz(ə)m
genteelly,ʤɛnˈtili
genteelness,ʤɛnˈtilnəs
gentes,ʤɛnts
gentian,ˈʤɛnʃən
gentile,ˈʤɛnˌtaɪl
gentilism,ˈʤɛnˌtaɪlɪz(ə)m
gentility,ʤɛnˈtɪlɪti
gentle,ˈʤɛntəl
gentleman,ˈʤɛntəlmən
gentlemanism,ˈʤɛntəlmənɪz(ə)m
gentlemanliness,ˈʤɛntəlmənlɪnəs
gentlemanly,ˈʤɛntəlmənli
gentlemanship,ˈʤɛntəlmənʃɪp
gentlemens,ˈʤɛntəlmɪnz
gentleness,ˈʤɛntəlnəs
gentleship,ˈʤɛntəlʃɪp
gentlewoman,ˈʤɛntəlˌwʊmən
gentlewomanish,ˈʤɛntəlˌwʊmənɪʃ
gentlewomanly,ˈʤɛntəlˌwʊmənli
gently,ˈʤɛntli
gentry,ˈʤɛntri
genuine,ˈʤɛnjəwən
genuinely,ˈʤɛnjəwənli
genuineness,ˈʤɛnjəwənɪs
genus,ˈʤinəs
geo,ˈʤioʊ
geocentric,ˌʤioʊˈsɛntrɪk
